time_ms,device_time_ms,ecg,upper,lower
125,,407,3000,1000
126,,409,3000,1000
126,,399,3000,1000
126,,409,3000,1000
126,,401,3000,1000
126,,406,3000,1000
126,,448,3000,1000
126,,411,3000,1000
126,,429,3000,1000
126,,407,3000,1000
170,,413,3000,1000
170,,412,3000,1000
170,,405,3000,1000
170,,404,3000,1000
171,,404,3000,1000
171,,412,3000,1000
171,,473,3000,1000
171,,417,3000,1000
171,,410,3000,1000
171,,402,3000,1000
205,,406,3000,1000
205,,413,3000,1000
205,,387,3000,1000
205,,403,3000,1000
205,,405,3000,1000
205,,412,3000,1000
205,,414,3000,1000
205,,413,3000,1000
205,,410,3000,1000
205,,405,3000,1000
223,,401,3000,1000
223,,414,3000,1000
223,,418,3000,1000
223,,395,3000,1000
223,,400,3000,1000
223,,438,3000,1000
223,,407,3000,1000
223,,397,3000,1000
223,,416,3000,1000
223,,403,3000,1000
243,,414,3000,1000
243,,407,3000,1000
243,,408,3000,1000
243,,401,3000,1000
243,,410,3000,1000
243,,412,3000,1000
243,,331,3000,1000
243,,368,3000,1000
243,,400,3000,1000
243,,411,3000,1000
253,,416,3000,1000
253,,413,3000,1000
253,,410,3000,1000
253,,401,3000,1000
253,,404,3000,1000
253,,417,3000,1000
253,,404,3000,1000
253,,410,3000,1000
253,,416,3000,1000
253,,406,3000,1000
271,,412,3000,1000
271,,411,3000,1000
271,,409,3000,1000
271,,400,3000,1000
272,,410,3000,1000
272,,355,3000,1000
272,,405,3000,1000
272,,407,3000,1000
272,,416,3000,1000
272,,388,3000,1000
293,,414,3000,1000
294,,362,3000,1000
294,,402,3000,1000
294,,400,3000,1000
294,,400,3000,1000
294,,413,3000,1000
294,,412,3000,1000
294,,390,3000,1000
294,,387,3000,1000
294,,407,3000,1000
312,,403,3000,1000
312,,400,3000,1000
312,,411,3000,1000
312,,362,3000,1000
312,,415,3000,1000
312,,383,3000,1000
312,,467,3000,1000
312,,411,3000,1000
312,,411,3000,1000
312,,405,3000,1000
330,,412,3000,1000
330,,400,3000,1000
330,,402,3000,1000
330,,416,3000,1000
330,,418,3000,1000
330,,412,3000,1000
330,,416,3000,1000
330,,415,3000,1000
330,,410,3000,1000
330,,404,3000,1000
346,,401,3000,1000
346,,405,3000,1000
346,,400,3000,1000
346,,432,3000,1000
346,,404,3000,1000
346,,405,3000,1000
346,,415,3000,1000
346,,423,3000,1000
346,,402,3000,1000
346,,411,3000,1000
363,,399,3000,1000
363,,400,3000,1000
363,,410,3000,1000
363,,409,3000,1000
363,,405,3000,1000
363,,416,3000,1000
363,,410,3000,1000
363,,429,3000,1000
363,,400,3000,1000
363,,414,3000,1000
381,,400,3000,1000
381,,400,3000,1000
381,,404,3000,1000
381,,406,3000,1000
381,,406,3000,1000
381,,400,3000,1000
381,,417,3000,1000
381,,408,3000,1000
381,,435,3000,1000
