time_ms,device_time_ms,ecg,upper,lower
122,,419,3000,1000
122,,442,3000,1000
122,,442,3000,1000
122,,446,3000,1000
122,,441,3000,1000
122,,438,3000,1000
122,,445,3000,1000
122,,449,3000,1000
122,,444,3000,1000
122,,443,3000,1000
169,,444,3000,1000
169,,394,3000,1000
169,,441,3000,1000
169,,446,3000,1000
169,,437,3000,1000
169,,441,3000,1000
169,,464,3000,1000
169,,445,3000,1000
169,,382,3000,1000
169,,448,3000,1000
201,,439,3000,1000
201,,445,3000,1000
201,,442,3000,1000
201,,449,3000,1000
201,,464,3000,1000
201,,422,3000,1000
201,,443,3000,1000
201,,432,3000,1000
201,,431,3000,1000
201,,432,3000,1000
216,,435,3000,1000
216,,394,3000,1000
216,,424,3000,1000
216,,436,3000,1000
216,,441,3000,1000
216,,446,3000,1000
216,,438,3000,1000
216,,423,3000,1000
216,,446,3000,1000
216,,447,3000,1000
238,,448,3000,1000
238,,432,3000,1000
238,,437,3000,1000
238,,445,3000,1000
238,,446,3000,1000
238,,441,3000,1000
238,,443,3000,1000
238,,419,3000,1000
238,,445,3000,1000
238,,441,3000,1000
253,,443,3000,1000
253,,442,3000,1000
253,,443,3000,1000
254,,438,3000,1000
254,,434,3000,1000
254,,447,3000,1000
254,,447,3000,1000
254,,439,3000,1000
254,,439,3000,1000
254,,439,3000,1000
269,,432,3000,1000
269,,456,3000,1000
269,,443,3000,1000
269,,445,3000,1000
269,,454,3000,1000
269,,448,3000,1000
269,,444,3000,1000
269,,443,3000,1000
269,,441,3000,1000
269,,442,3000,1000
284,,439,3000,1000
284,,439,3000,1000
284,,442,3000,1000
284,,430,3000,1000
284,,445,3000,1000
284,,428,3000,1000
284,,439,3000,1000
284,,444,3000,1000
284,,439,3000,1000
284,,445,3000,1000
299,,443,3000,1000
299,,445,3000,1000
299,,428,3000,1000
299,,446,3000,1000
299,,443,3000,1000
299,,435,3000,1000
299,,445,3000,1000
299,,442,3000,1000
299,,437,3000,1000
299,,439,3000,1000
315,,451,3000,1000
315,,446,3000,1000
315,,453,3000,1000
315,,462,3000,1000
315,,443,3000,1000
315,,454,3000,1000
315,,439,3000,1000
315,,453,3000,1000
315,,445,3000,1000
315,,439,3000,1000
328,,448,3000,1000
328,,439,3000,1000
328,,460,3000,1000
328,,443,3000,1000
329,,439,3000,1000
329,,432,3000,1000
329,,446,3000,1000
329,,443,3000,1000
329,,448,3000,1000
329,,438,3000,1000
336,,433,3000,1000
336,,452,3000,1000
336,,434,3000,1000
336,,429,3000,1000
336,,439,3000,1000
336,,444,3000,1000
336,,442,3000,1000
336,,442,3000,1000
336,,422,3000,1000
336,,445,3000,1000
351,,449,3000,1000
351,,441,3000,1000
352,,446,3000,1000
352,,432,3000,1000
352,,437,3000,1000
352,,406,3000,1000
352,,434,3000,1000
352,,448,3000,1000
352,,463,3000,1000
352,,442,3000,1000
367,,445,3000,1000
367,,453,3000,1000
367,,432,3000,1000
367,,471,3000,1000
367,,439,3000,1000
367,,438,3000,1000
367,,438,3000,1000
367,,415,3000,1000
367,,437,3000,1000
367,,446,3000,1000
382,,438,3000,1000
382,,443,3000,1000
382,,444,3000,1000
382,,443,3000,1000
382,,441,3000,1000
382,,437,3000,1000
382,,480,3000,1000
382,,423,3000,1000
382,,442,3000,1000
382,,461,3000,1000
398,,441,3000,1000
398,,438,3000,1000
398,,464,3000,1000
398,,451,3000,1000
398,,443,3000,1000
398,,441,3000,1000
398,,385,3000,1000
398,,444,3000,1000
398,,432,3000,1000
398,,430,3000,1000
412,,464,3000,1000
412,,447,3000,1000
412,,445,3000,1000
412,,411,3000,1000
412,,432,3000,1000
412,,441,3000,1000
412,,442,3000,1000
412,,439,3000,1000
412,,437,3000,1000
412,,389,3000,1000
428,,442,3000,1000
428,,441,3000,1000
428,,448,3000,1000
428,,453,3000,1000
428,,414,3000,1000
428,,439,3000,1000
428,,443,3000,1000
428,,454,3000,1000
428,,441,3000,1000
428,,444,3000,1000
444,,439,3000,1000
444,,443,3000,1000
444,,469,3000,1000
444,,442,3000,1000
444,,443,3000,1000
444,,435,3000,1000
444,,443,3000,1000
444,,439,3000,1000
444,,443,300,
444,,438,3000,1000
459,,447,3000,1000
459,,460,3000,1000
459,,438,3000,1000
460,,450,3000,1000
460,,439,3000,1000
460,,446,3000,1000
460,,443,3000,1000
460,,439,3000,1000
460,,449,3000,1000
460,,406,3000,1000
475,,442,3000,1000
475,,432,3000,1000
475,,458,3000,1000
475,,448,3000,1000
475,,437,3000,1000
475,,443,3000,1000
476,,442,3000,1000
476,,440,3000,1000
476,,444,3000,1000
476,,447,3000,1000
491,,432,3000,1000
492,,411,3000,1000
492,,439,3000,1000
492,,439,3000,1000
492,,443,3000,1000
492,,446,3000,1000
492,,438,3000,1000
492,,464,3000,1000
492,,435,3000,1000
492,,399,3000,1000
507,,398,3000,1000
507,,443,3000,1000
508,,438,3000,1000
508,,443,3000,1000
508,,435,3000,1000
508,,440,3000,1000
508,,434,3000,1000
508,,506,3000,1000
508,,447,3000,1000
508,,439,3000,1000
524,,448,3000,1000
524,,445,3000,1000
524,,441,3000,1000
524,,457,3000,1000
524,,439,3000,1000
524,,443,3000,1000
524,,441,3000,1000
524,,447,3000,1000
524,,436,3000,1000
524,,384,3000,1000
540,,406,3000,1000
540,,452,3000,1000
541,,443,3000,1000
541,,450,3000,1000
541,,446,3000,1000
541,,431,3000,1000
541,,447,3000,1000
541,,441,3000,1000
541,,446,3000,1000
541,,447,3000,1000
557,,439,3000,1000
557,,438,3000,1000
557,,439,3000,1000
557,,452,3000,1000
557,,448,3000,1000
557,,438,3000,1000
557,,437,3000,1000
557,,446,3000,1000
557,,442,3000,1000
557,,441,3000,1000
573,,443,3000,1000
573,,443,3000,1000
573,,443,3000,1000
573,,442,3000,1000
573,,438,3000,1000
573,,441,3000,1000
574,,439,3000,1000
574,,438,3000,1000
574,,439,3000,1000
574,,446,3000,1000
590,,443,3000,1000
590,,442,3000,1000
590,,439,3000,1000
590,,438,3000,1000
590,,448,3000,1000
590,,459,3000,1000
590,,441,3000,1000
590,,491,3000,1000
590,,447,3000,1000
590,,415,3000,1000
607,,442,3000,1000
607,,443,3000,1000
607,,448,3000,1000
607,,439,3000,1000
607,,439,3000,1000
607,,531,3000,1000
607,,448,3000,1000
607,,447,3000,1000
607,,443,3000,1000
607,,437,3000,1000
625,,450,3000,1000
625,,441,3000,1000
625,,439,3000,1000
625,,412,3000,1000
625,,435,3000,1000
625,,447,3000,1000
625,,441,3000,1000
625,,445,3000,1000
625,,463,3000,1000
625,,441,3000,1000
643,,444,3000,1000
643,,435,3000,1000
643,,447,3000,1000
643,,455,3000,1000
643,,448,3000,1000
643,,448,3000,1000
643,,423,3000,1000
643,,464,3000,1000
643,,443,3000,1000
643,,439,3000,1000
660,,444,3000,1000
660,,370,3000,1000
660,,442,3000,1000
660,,441,3000,1000
660,,429,3000,1000
660,,441,3000,1000
661,,442,3000,1000
661,,462,3000,1000
661,,445,3000,1000
661,,437,3000,1000
678,,447,3000,1000
678,,457,3000,1000
678,,436,3000,1000
678,,448,3000,1000
678,,437,3000,1000
678,,445,3000,1000
678,,471,3000,1000
678,,444,3000,1000
678,,451,3000,1000
678,,445,3000,1000
695,,436,3000,1000
695,,435,3000,1000
695,,445,3000,1000
695,,446,3000,1000
695,,438,3000,1000
695,,426,3000,1000
695,,441,3000,1000
695,,449,3000,1000
695,,436,3000,1000
695,,436,3000,1000
712,,442,3000,1000
712,,432,3000,1000
712,,444,3000,1000
712,,443,3000,1000
712,,446,3000,1000
712,,419,3000,1000
712,,443,3000,1000
712,,445,3000,1000
712,,446,3000,1000
712,,440,3000,1000
729,,444,3000,1000
729,,447,3000,1000
729,,443,3000,1000
730,,444,3000,1000
730,,443,3000,1000
730,,511,3000,1000
730,,444,3000,1000
730,,425,3000,1000
730,,445,3000,1000
730,,445,3000,1000
