time_ms,device_time_ms,ecg,upper,lower
133,,448,3000,1000
133,,453,3000,1000
133,,393,3000,1000
133,,460,3000,1000
133,,449,3000,1000
133,,449,3000,1000
133,,450,3000,1000
133,,450,3000,1000
133,,443,3000,1000
133,,446,3000,1000
182,,439,3000,1000
182,,446,3000,1000
182,,453,3000,1000
182,,442,3000,1000
182,,448,3000,1000
182,,450,3000,1000
182,,448,3000,1000
182,,461,3000,1000
182,,455,3000,1000
182,,435,3000,1000
217,,443,3000,1000
217,,451,3000,1000
217,,451,3000,1000
217,,453,3000,1000
217,,448,3000,1000
217,,447,3000,1000
217,,461,3000,1000
217,,445,3000,1000
217,,449,3000,1000
217,,452,3000,1000
236,,446,3000,1000
236,,447,3000,1000
236,,455,3000,1000
236,,449,3000,1000
236,,453,3000,1000
237,,456,3000,1000
237,,448,3000,1000
237,,453,3000,1000
237,,441,3000,1000
237,,448,3000,1000
261,,448,3000,1000
261,,449,3000,1000
261,,465,3000,1000
261,,445,3000,1000
261,,451,3000,1000
261,,455,3000,1000
261,,449,3000,1000
261,,448,3000,1000
261,,437,3000,1000
261,,441,3000,1000
279,,436,3000,1000
279,,448,3000,1000
279,,451,3000,1000
279,,446,3000,1000
279,,447,3000,1000
279,,432,3000,1000
279,,449,3000,1000
279,,448,3000,1000
279,,449,3000,1000
279,,448,3000,1000
298,,447,3000,1000
298,,447,3000,1000
298,,445,3000,1000
298,,448,3000,1000
298,,450,3000,1000
298,,452,3000,1000
298,,449,3000,1000
298,,452,3000,1000
298,,448,3000,1000
298,,451,3000,1000
315,,445,3000,1000
315,,459,3000,1000
315,,450,3000,1000
315,,448,3000,1000
315,,449,3000,1000
315,,448,3000,1000
315,,447,3000,1000
315,,448,3000,1000
315,,446,3000,1000
315,,496,3000,1000
330,,446,3000,1000
330,,448,3000,1000
330,,446,3000,1000
330,,433,3000,1000
330,,445,3000,1000
331,,432,3000,1000
331,,452,3000,1000
331,,448,3000,1000
331,,445,3000,1000
331,,481,3000,1000
346,,444,3000,1000
346,,447,3000,1000
346,,431,3000,1000
346,,525,3000,1000
346,,432,3000,1000
347,,442,3000,1000
347,,432,3000,1000
347,,448,3000,1000
347,,445,3000,1000
347,,454,3000,1000
363,,464,3000,1000
363,,438,3000,1000
363,,448,3000,1000
363,,451,3000,1000
363,,438,3000,1000
363,,448,3000,1000
363,,463,3000,1000
363,,446,3000,1000
364,,448,3000,1000
364,,449,3000,1000
380,,437,3000,1000
380,,451,3000,1000
380,,457,3000,1000
380,,447,3000,1000
380,,451,3000,1000
380,,446,3000,1000
380,,447,3000,1000
380,,464,3000,1000
380,,453,3000,1000
380,,448,3000,1000
396,,444,3000,1000
396,,448,3000,1000
396,,449,3000,1000
396,,450,3000,1000
396,,431,3000,1000
396,,459,3000,1000
396,,448,3000,1000
396,,451,3000,1000
396,,464,3000,1000
396,,455,3000,1000
412,,439,3000,1000
412,,448,3000,1000
412,,419,3000,1000
412,,454,3000,1000
412,,447,3000,1000
412,,452,3000,1000
412,,448,3000,1000
412,,454,3000,1000
412,,451,3000,1000
412,,448,3000,1000
428,,446,3000,1000
428,,450,3000,1000
428,,449,3000,1000
428,,451,3000,1000
428,,455,3000,1000
428,,443,3000,1000
428,,441,3000,1000
428,,443,3000,1000
428,,448,3000,1000
428,,451,3000,1000
447,,464,3000,1000
447,,445,3000,1000
447,,448,3000,1000
447,,448,3000,1000
447,,450,3000,1000
447,,452,3000,1000
447,,447,3000,1000
447,,447,3000,1000
447,,432,3000,1000
447,,449,3000,1000
463,,442,3000,1000
463,,446,3000,1000
463,,449,3000,1000
463,,453,3000,1000
463,,450,3000,1000
463,,448,3000,1000
463,,448,3000,1000
463,,450,3000,1000
463,,454,3000,1000
463,,448,3000,1000
479,,448,3000,1000
479,,449,3000,1000
479,,445,3000,1000
479,,443,3000,1000
479,,448,3000,1000
479,,448,3000,1000
479,,449,3000,1000
479,,447,3000,1000
479,,449,3000,1000
479,,446,3000,1000
495,,447,3000,1000
495,,445,3000,1000
495,,454,3000,1000
495,,449,3000,1000
495,,446,3000,1000
495,,448,3000,1000
495,,446,3000,1000
495,,467,3000,1000
495,,449,3000,1000
495,,451,3000,1000
512,,448,3000,1000
512,,394,3000,1000
512,,437,3000,1000
512,,447,3000,1000
512,,448,3000,1000
512,,446,3000,1000
512,,443,3000,1000
513,,448,3000,1000
513,,455,3000,1000
513,,450,3000,1000
530,,444,3000,1000
530,,459,3000,1000
530,,464,3000,1000
530,,449,3000,1000
530,,509,3000,1000
530,,464,3000,1000
530,,448,3000,1000
530,,447,3000,1000
530,,450,3000,1000
530,,451,3000,1000
547,,446,3000,1000
547,,415,3000,1000
547,,467,3000,1000
547,,445,3000,1000
547,,451,3000,1000
547,,399,3000,1000
547,,447,3000,1000
547,,450,3000,1000
547,,447,3000,1000
547,,447,3000,1000
564,,452,3000,1000
564,,447,3000,1000
564,,442,3000,1000
564,,451,3000,1000
564,,450,3000,1000
564,,448,3000,1000
564,,449,3000,1000
564,,448,3000,1000
564,,452,3000,1000
564,,446,3000,1000
580,,439,3000,1000
580,,447,3000,1000
580,,479,3000,1000
580,,449,3000,1000
580,,450,3000,1000
580,,444,3000,1000
580,,445,3000,1000
580,,450,3000,1000
580,,447,3000,1000
580,,442,3000,1000
596,,447,3000,1000
596,,452,3000,1000
596,,448,3000,1000
596,,448,3000,1000
596,,448,3000,1000
596,,449,3000,1000
596,,445,3000,1000
597,,453,3000,1000
597,,446,3000,1000
597,,445,3000,1000
612,,448,3000,1000
612,,451,3000,1000
612,,453,3000,1000
612,,445,3000,1000
612,,447,3000,1000
613,,442,3000,1000
613,,469,3000,1000
613,,454,3000,1000
613,,429,3000,1000
613,,447,3000,1000
629,,433,3000,1000
629,,448,3000,1000
629,,459,3000,1000
629,,459,3000,1000
629,,448,3000,1000
629,,464,3000,1000
629,,447,3000,1000
629,,439,3000,1000
629,,449,3000,1000
629,,471,3000,1000
646,,447,3000,1000
646,,455,3000,1000
646,,432,3000,1000
646,,451,3000,1000
646,,448,3000,1000
646,,444,3000,1000
646,,454,3000,1000
646,,448,3000,1000
646,,445,3000,1000
646,,449,3000,1000
662,,446,3000,1000
662,,448,3000,1000
662,,451,3000,1000
662,,448,3000,1000
662,,452,3000,1000
662,,448,3000,1000
662,,448,3000,1000
662,,447,3000,1000
662,,450,3000,1000
662,,449,3000,1000
679,,447,3000,1000
679,,446,3000,1000
679,,452,3000,1000
679,,434,3000,1000
679,,497,3000,1000
679,,451,3000,1000
679,,446,3000,1000
679,,449,3000,1000
679,,447,3000,1000
679,,391,3000,1000
695,,494,3000,1000
695,,446,3000,1000
695,,445,3000,1000
695,,448,3000,1000
695,,422,3000,1000
695,,447,3000,1000
695,,443,3000,1000
695,,447,3000,1000
695,,448,3000,1000
695,,452,3000,1000
711,,455,3000,1000
711,,432,3000,1000
711,,438,3000,1000
711,,447,3000,1000
712,,459,3000,1000
712,,468,3000,1000
712,,444,3000,1000
712,,455,3000,1000
712,,451,3000,1000
712,,450,3000,1000
728,,438,3000,1000
728,,446,3000,1000
728,,442,3000,1000
728,,452,3000,1000
728,,448,3000,1000
728,,457,3000,1000
728,,451,3000,1000
728,,451,3000,1000
728,,449,3000,1000
728,,451,3000,1000
746,,451,3000,1000
746,,446,3000,1000
746,,400,3000,1000
746,,450,3000,1000
746,,446,3000,1000
746,,508,3000,1000
746,,448,3000,1000
746,,447,3000,1000
746,,446,3000,1000
746,,449,3000,1000
763,,451,3000,1000
763,,449,3000,1000
763,,496,3000,1000
763,,450,3000,1000
763,,451,3000,1000
763,,447,3000,1000
763,,448,3000,1000
763,,447,3000,1000
763,,451,3000,1000
763,,454,3000,1000
780,,445,3000,1000
780,,441,3000,1000
780,,451,3000,1000
780,,451,3000,1000
780,,484,3000,1000
780,,448,3000,1000
780,,432,3000,1000
780,,454,3000,1000
780,,463,3000,1000
780,,446,3000,1000
797,,447,3000,1000
797,,453,3000,1000
797,,455,3000,1000
797,,451,3000,1000
797,,454,3000,1000
797,,448,3000,1000
797,,449,3000,1000
797,,437,3000,1000
797,,453,3000,1000
797,,450,3000,1000
816,,443,3000,1000
816,,448,3000,1000
816,,451,3000,1000
816,,448,3000,1000
816,,483,3000,1000
816,,443,3000,1000
816,,432,3000,1000
