timestamp,CH1,CH2,CH3,CH4
2026-03-31T00:15:55.213044,0.004,0.127,0.064,0.218
2026-03-31T00:15:55.230726,0.01,0.128,0.055,0.219
2026-03-31T00:15:55.249261,0.01,0.127,0.053,0.219
2026-03-31T00:15:55.249368,0.009,0.129,0.052,0.216
2026-03-31T00:15:55.249428,0.001,0.13,0.047,0.216
2026-03-31T00:15:55.249490,0.013,0.137,0.081,0.218
2026-03-31T00:15:55.249640,0.007,0.135,0.064,0.216
2026-03-31T00:15:55.261897,0.008,0.136,0.064,0.219
2026-03-31T00:15:55.264430,0.01,0.133,0.056,0.218
2026-03-31T00:15:55.264521,0.007,0.133,0.06,0.219
2026-03-31T00:15:55.264613,0.008,0.132,0.059,0.219
2026-03-31T00:15:55.264674,0.01,0.135,0.056,0.209
2026-03-31T00:15:55.264736,0.008,0.154,0.064,0.217
2026-03-31T00:15:55.264827,0.007,0.151,0.065,0.218
2026-03-31T00:15:55.264903,0.01,0.16,0.064,0.219
2026-03-31T00:15:55.264966,0.029,0.154,0.067,0.208
2026-03-31T00:15:55.265032,0.004,0.156,0.066,0.214
2026-03-31T00:15:55.265091,0.004,0.16,0.068,0.218
2026-03-31T00:15:55.265157,0.01,0.164,0.065,0.217
2026-03-31T00:15:55.265218,0.009,0.162,0.065,0.219
2026-03-31T00:15:55.265324,0.011,0.193,0.064,0.219
2026-03-31T00:15:55.265395,0.012,0.191,0.065,0.219
2026-03-31T00:15:55.265459,0.01,0.19,0.065,0.218
2026-03-31T00:15:55.265512,0.004,0.193,0.064,0.218
2026-03-31T00:15:55.265623,0.008,0.197,0.065,0.214
2026-03-31T00:15:55.265680,0.006,0.199,0.067,0.219
2026-03-31T00:15:55.265740,0.009,0.204,0.079,0.22
2026-03-31T00:15:55.265792,0.012,0.205,0.077,0.215
2026-03-31T00:15:55.265842,0.008,0.241,0.079,0.228
2026-03-31T00:15:55.265894,0.008,0.239,0.077,0.222
2026-03-31T00:15:55.265955,0.012,0.241,0.076,0.226
2026-03-31T00:15:55.266003,0.011,0.243,0.076,0.223
2026-03-31T00:15:55.266060,0.012,0.244,0.075,0.223
2026-03-31T00:15:55.266117,0.012,0.245,0.079,0.223
2026-03-31T00:15:55.266166,0.01,0.246,0.09,0.219
2026-03-31T00:15:55.266233,0.011,0.251,0.085,0.214
2026-03-31T00:15:55.266296,0.012,0.273,0.08,0.219
2026-03-31T00:15:55.266391,0.0,0.272,0.103,0.211
2026-03-31T00:15:55.266467,0.009,0.274,0.094,0.21
